left_pose_history,left_point,right_point,right_pose_history
"['left_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'left_arm_folding', 'chage_court']",2,,
"['left_pointing', 'left_arm_folding', 'chage_court']",3,,
"['left_pointing', 'left_arm_folding', 'chage_court']",4,,
"['left_pointing', 'left_arm_folding', 'chage_court']",5,,
"['left_pointing', 'left_arm_folding', 'chage_court']",6,,
"['left_pointing', 'left_arm_folding', 'chage_court']",7,,
"['left_pointing', 'left_arm_folding', 'chage_court']",8,,
"['left_pointing', 'left_arm_folding', 'chage_court']",9,,
"['left_pointing', 'left_arm_folding', 'chage_court']",10,,
"['left_pointing', 'chage_court', 'right_pointing', 'right_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,2,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,3,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,4,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,5,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,6,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,7,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,8,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,9,"['right_pointing', 'right_arm_folding', 'chage_court']"
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'right_pointing', 'right_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,2,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,3,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,4,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,5,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,6,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,7,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,8,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,9,"['right_pointing', 'right_arm_folding', 'chage_court']"
"['left_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'left_arm_folding', 'chage_court']",2,,
"['left_pointing', 'left_arm_folding', 'chage_court']",3,,
"['left_pointing', 'left_arm_folding', 'chage_court']",4,,
"['left_pointing', 'left_arm_folding', 'chage_court']",5,,
"['left_pointing', 'left_arm_folding', 'chage_court']",6,,
"['left_pointing', 'left_arm_folding', 'chage_court']",7,,
"['left_pointing', 'left_arm_folding', 'chage_court']",8,,
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'right_t_pose', 'raise_hands_to_chest', 'right_pointing', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'left_t_pose', 'end_of_set', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'left_t_pose', 'left_pointing', 'left_arm_folding', 'left_t_pose', 'left_pointing', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
,,2,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']"
,,3,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",3,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",4,,
"['left_pointing', 'chage_court', 'right_pointing', 'raise_hands_to_chest', 'chage_court']",1,,
,1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
,,2,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",3,,
,,3,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'left_pointing', 'raise_hands_to_chest', 'left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'chage_court']"
