left_pose_history,left_point,right_point,right_pose_history
,,1,"['right_pointing', 'chage_court', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",1,,
,,2,"['right_pointing', 'chage_court', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",2,,
,,3,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",3,,
,,4,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",4,,
,,5,"['right_pointing', 'chage_court', 'left_hand_raising', 'chage_court']"
,,1,"['right_pointing', 'chage_court', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",1,,
,,2,"['right_pointing', 'chage_court', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",2,,
,,3,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",3,,
,,4,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",4,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'right_arm_folding', 'raise_hands_to_chest', 'chage_court']",1,,
,,2,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
,,3,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",3,,
,,4,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",4,,
"['left_pointing', 'right_arm_folding', 'left_pointing', 'raise_hands_to_chest', 'chage_court']",5,,
,,5,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",6,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
,,2,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']"
,,3,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",3,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",4,,
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']",5,,
,,1,"['right_pointing', 'left_t_pose', 'left_pointing', 'chage_court']"
,,2,"['right_pointing', 'left_t_pose', 'left_pointing', 'chage_court']"
,,3,"['right_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'left_hand_raising', 'left_pointing', 'chage_court']"
"['left_pointing', 'right_t_pose', 'substitutions', 'left_arm_folding', 'substitutions', 'left_arm_folding', 'left_hand_raising', 'left_pointing', 'right_arm_folding', 'left_pointing', 'chage_court']",1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'left_t_pose', 'right_pointing', 'chage_court']"
,,2,"['right_pointing', 'left_t_pose', 'right_pointing', 'chage_court']"
,,3,"['right_pointing', 'left_t_pose', 'right_pointing', 'chage_court']"
,,4,"['right_pointing', 'right_t_pose', 'raise_hands_to_chest', 'right_t_pose', 'raise_hands_to_chest', 'right_pointing', 'chage_court']"
"['left_pointing', 'right_arm_folding', 'left_pointing', 'right_arm_folding', 'left_pointing', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'left_arm_folding', 'chage_court']",2,,
"['left_pointing', 'left_arm_folding', 'chage_court']",3,,
"['left_pointing', 'left_arm_folding', 'chage_court']",4,,
"['left_pointing', 'left_arm_folding', 'chage_court']",5,,
"['left_pointing', 'left_arm_folding', 'chage_court']",6,,
"['left_pointing', 'left_arm_folding', 'chage_court']",7,,
"['left_pointing', 'left_arm_folding', 'chage_court']",8,,
"['left_pointing', 'left_arm_folding', 'chage_court']",9,,
"['left_pointing', 'left_arm_folding', 'chage_court']",10,,
"['left_pointing', 'chage_court', 'right_pointing', 'right_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,2,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,3,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,4,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,5,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,6,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,7,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,8,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,9,"['right_pointing', 'right_arm_folding', 'chage_court']"
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'right_pointing', 'right_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,2,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,3,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,4,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,5,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,6,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,7,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,8,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,9,"['right_pointing', 'right_arm_folding', 'chage_court']"
"['left_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'left_arm_folding', 'chage_court']",2,,
"['left_pointing', 'left_arm_folding', 'chage_court']",3,,
"['left_pointing', 'left_arm_folding', 'chage_court']",4,,
"['left_pointing', 'left_arm_folding', 'chage_court']",5,,
"['left_pointing', 'left_arm_folding', 'chage_court']",6,,
"['left_pointing', 'left_arm_folding', 'chage_court']",7,,
"['left_pointing', 'left_arm_folding', 'chage_court']",8,,
"['left_pointing', 'left_arm_folding', 'chage_court']",9,,
"['left_pointing', 'left_arm_folding', 'chage_court']",10,,
"['left_pointing', 'chage_court', 'right_t_pose', 'right_pointing', 'chage_court']",1,,
"['left_pointing', 'chage_court', 'right_t_pose', 'left_pointing', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'right_hand_raising', 'chage_court']",1,,
,,1,"['right_pointing', 'chage_court', 'right_pointing', 'right_arm_folding', 'chage_court']"
,,2,"['right_pointing', 'left_pointing', 'left_hand_raising', 'left_arm_folding', 'right_pointing', 'left_hand_raising', 'chage_court']"
,,3,"['right_pointing', 'left_pointing', 'left_hand_raising', 'left_pointing', 'chage_court']"
,,4,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,5,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,6,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,7,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,8,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,9,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'right_hand_raising', 'chage_court']",1,,
,,1,"['right_pointing', 'chage_court', 'right_pointing', 'right_arm_folding', 'chage_court']"
,,2,"['right_pointing', 'left_pointing', 'left_hand_raising', 'left_arm_folding', 'right_pointing', 'left_hand_raising', 'chage_court']"
,,3,"['right_pointing', 'left_pointing', 'left_hand_raising', 'left_pointing', 'chage_court']"
,,4,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,5,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,6,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,7,"['right_pointing', 'chage_court', 'left_pointing', 'chage_court']"
,,8,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,9,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",1,,
"['left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",2,,
"['left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",3,,
"['left_pointing', 'right_hand_raising', 'right_pointing', 'chage_court']",4,,
"['left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",5,,
"['left_pointing', 'right_hand_raising', 'right_pointing', 'chage_court']",6,,
"['left_pointing', 'left_arm_folding', 'chage_court']",7,,
,,1,"['right_pointing', 'chage_court', 'left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']"
"['left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",8,,
"['left_pointing', 'left_arm_folding', 'left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",9,,
"['left_pointing', 'left_arm_folding', 'left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",10,,
"['left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",11,,
"['left_pointing', 'left_arm_folding', 'right_pointing', 'chage_court']",12,,
"['left_pointing', 'chage_court', 'left_pointing', 'raise_hands_to_chest', 'right_t_pose', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
"['left_pointing', 'raise_hands_to_chest', 'right_t_pose', 'raise_hands_to_chest', 'chage_court']",3,,
"['left_pointing', 'raise_hands_to_chest', 'right_t_pose', 'left_pointing', 'right_hand_raising', 'raise_hands_to_chest', 'right_pointing', 'left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'left_t_pose', 'left_arm_folding', 'left_pointing', 'raise_hands_to_chest', 'left_t_pose', 'left_arm_folding', 'left_pointing', 'raise_hands_to_chest', 'left_t_pose', 'left_arm_folding', 'chage_court']",4,,
"['left_pointing', 'chage_court', 'left_pointing', 'raise_hands_to_chest', 'right_t_pose', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
"['left_pointing', 'raise_hands_to_chest', 'right_t_pose', 'raise_hands_to_chest', 'chage_court']",3,,
"['left_pointing', 'left_t_pose', 'raise_hands_to_chest', 'left_t_pose', 'raise_hands_to_chest', 'left_arm_folding', 'end_of_set', 'left_arm_folding', 'left_pointing', 'end_of_set', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'left_pointing', 'right_hand_raising', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'right_arm_folding', 'chage_court']"
"['left_pointing', 'left_arm_folding', 'chage_court']",2,,
,,2,"['right_pointing', 'right_hand_raising', 'left_t_pose', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'left_hand_raising', 'right_t_pose', 'chage_court']",3,,
"['left_pointing', 'right_t_pose', 'chage_court']",4,,
,,3,"['right_pointing', 'raise_hands_to_chest', 'left_t_pose', 'left_arm_folding', 'chage_court']"
,,4,"['right_pointing', 'left_t_pose', 'substitutions', 'left_t_pose', 'substitutions', 'chage_court']"
,,5,"['right_pointing', 'chage_court', 'right_pointing', 'right_hand_raising', 'right_arm_folding', 'left_t_pose', 'left_arm_folding', 'left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'left_t_pose', 'chage_court']"
"['left_pointing', 'left_t_pose', 'raise_hands_to_chest', 'left_t_pose', 'raise_hands_to_chest', 'left_arm_folding', 'end_of_set', 'left_arm_folding', 'left_pointing', 'end_of_set', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'left_t_pose', 'raise_hands_to_chest', 'left_t_pose', 'raise_hands_to_chest', 'left_arm_folding', 'end_of_set', 'left_arm_folding', 'left_pointing', 'end_of_set', 'left_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'right_t_pose', 'chage_court']"
,,2,"['right_pointing', 'raise_hands_to_chest', 'substitutions', 'right_t_pose', 'chage_court']"
,,3,"['right_pointing', 'raise_hands_to_chest', 'substitutions', 'right_t_pose', 'chage_court']"
"['left_pointing', 'left_t_pose', 'raise_hands_to_chest', 'left_t_pose', 'raise_hands_to_chest', 'left_arm_folding', 'end_of_set', 'left_arm_folding', 'left_pointing', 'end_of_set', 'left_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'right_t_pose', 'chage_court']"
,,2,"['right_pointing', 'raise_hands_to_chest', 'substitutions', 'right_t_pose', 'chage_court']"
,,3,"['right_pointing', 'raise_hands_to_chest', 'substitutions', 'right_t_pose', 'chage_court']"
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",1,,
,,1,"['right_pointing', 'chage_court', 'left_hand_raising', 'chage_court']"
,,2,"['right_pointing', 'left_hand_raising', 'chage_court']"
,,3,"['right_pointing', 'left_hand_raising', 'chage_court']"
,,4,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",2,,
"['left_pointing', 'left_arm_folding', 'right_hand_raising', 'chage_court']",3,,
"['left_pointing', 'left_arm_folding', 'right_hand_raising', 'chage_court']",4,,
"['left_pointing', 'left_arm_folding', 'left_pointing', 'right_hand_raising', 'chage_court']",5,,
"['left_pointing', 'end_of_set', 'left_pointing', 'right_hand_raising', 'chage_court']",6,,
"['left_pointing', 'left_arm_folding', 'left_pointing', 'right_hand_raising', 'chage_court']",7,,
"['left_pointing', 'left_arm_folding', 'right_hand_raising', 'chage_court']",8,,
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",1,,
,,1,"['right_pointing', 'chage_court', 'left_hand_raising', 'left_arm_folding', 'chage_court']"
,1,,
,,2,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",2,,
,,3,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",3,,
,,4,"['right_pointing', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'right_hand_raising', 'chage_court']",4,,
,,5,"['right_pointing', 'chage_court', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'chage_court', 'right_pointing', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']",1,,
,1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']",2,,
,,2,"['right_pointing', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']",3,,
,,3,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'left_hand_raising', 'left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']",4,,
,,4,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'left_hand_raising', 'left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']"
"['left_pointing', 'chage_court', 'right_pointing', 'chage_court']",1,,
,,1,"['right_pointing', 'chage_court', 'right_arm_folding', 'left_t_pose', 'raise_hands_to_chest', 'left_hand_raising', 'left_pointing', 'chage_court']"
,,2,"['right_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']",2,,
,,3,"['right_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']",3,,
,,4,"['right_pointing', 'right_arm_folding', 'chage_court']"
,,5,"['right_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']",4,,
,,6,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
,,7,"['right_pointing', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'chage_court']"
,,2,"['right_pointing', 'chage_court', 'raise_hands_to_chest', 'left_arm_folding', 'chage_court']"
,,3,"['right_pointing', 'right_arm_folding', 'chage_court']"
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",2,,
"['left_pointing', 'raise_hands_to_chest', 'chage_court']",3,,
"['left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'left_hand_raising', 'chage_court']",4,,
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'left_t_pose', 'end_of_set', 'left_arm_folding', 'chage_court']",1,,
,,1,"['right_pointing', 'raise_hands_to_chest', 'left_t_pose', 'left_pointing', 'left_arm_folding', 'chage_court']"
,,2,"['right_pointing', 'raise_hands_to_chest', 'left_t_pose', 'left_pointing', 'left_arm_folding', 'raise_hands_to_chest', 'right_t_pose', 'left_pointing', 'left_arm_folding', 'chage_court']"
"['left_pointing', 'chage_court', 'raise_hands_to_chest', 'right_t_pose', 'raise_hands_to_chest', 'left_pointing', 'left_arm_folding', 'chage_court']",1,,
"['left_pointing', 'raise_hands_to_chest', 'right_hand_raising', 'left_arm_folding', 'chage_court']",1,,
