left_pose_history,left_point,right_point,right_pose_history
,,2,"[1, 5, 11]"
,,3,"[1, 5, 11]"
,,4,"[1, 5, 11]"
,,5,"[1, 5, 11]"
,,6,"[1, 5, 11]"
,,7,"[1, 5, 11]"
,,8,"[1, 5, 11]"
,,9,"[1, 5, 11]"
"[0, 11, 1, 5, 11]",1,,
,,1,"[1, 5, 11]"
,,2,"[1, 5, 11]"
,,3,"[1, 5, 11]"
,,4,"[1, 5, 11]"
,,5,"[1, 5, 11]"
,,6,"[1, 5, 11]"
,,7,"[1, 5, 11]"
,,8,"[1, 5, 11]"
,,9,"[1, 5, 11]"
"[0, 11, 1, 5, 11]",1,,
"[0, 11, 1, 5, 11]",1,,
,,1,"[1, 5, 11]"
,,2,"[1, 5, 11]"
,,3,"[1, 5, 11]"
,,4,"[1, 5, 11]"
,,5,"[1, 5, 11]"
,,6,"[1, 5, 11]"
,,7,"[1, 5, 11]"
,,8,"[1, 5, 11]"
,,9,"[1, 5, 11]"
"[0, 11, 0, 4, 11]",1,,
"[0, 4, 11]",2,,
"[0, 4, 11]",3,,
"[0, 4, 11]",4,,
"[0, 4, 11]",5,,
"[0, 4, 11]",6,,
"[0, 4, 11]",7,,
"[0, 4, 11]",8,,
"[0, 4, 11]",9,,
"[0, 4, 11]",10,,
"[0, 11, 3, 1, 11]",1,,
"[0, 11, 3, 0, 11]",1,,
,,1,"[1, 8, 11]"
,,2,"[1, 11, 8, 11]"
,,3,"[1, 11, 8, 11]"
"[0, 8, 11]",1,,
"[0, 8, 11]",2,,
"[0, 8, 11]",3,,
"[0, 8, 11]",4,,
"[0, 11, 8, 11]",5,,
,,1,"[1, 8, 11]"
,,2,"[1, 8, 11]"
"[0, 8, 11]",1,,
,,3,"[1, 8, 11]"
"[0, 8, 11]",2,,
,,4,"[1, 11, 8, 11]"
"[0, 8, 11]",3,,
"[0, 8, 11]",4,,
,,5,"[1, 11, 8, 11]"
"[0, 8, 11]",5,,
,,1,"[1, 8, 11]"
,,2,"[1, 8, 11]"
"[0, 8, 11]",1,,
,,3,"[1, 8, 11]"
"[0, 8, 11]",2,,
,,4,"[1, 11, 8, 11]"
"[0, 8, 11]",3,,
"[0, 8, 11]",4,,
,,5,"[1, 11, 8, 11]"
,,1,"[1, 11, 6, 11]"
"[0, 7, 11]",1,,
,,2,"[1, 11, 6, 11]"
"[0, 7, 11]",2,,
,,1,"[1, 11, 6, 11]"
"[0, 7, 11]",1,,
,,2,"[1, 11, 6, 11]"
"[0, 7, 11]",2,,
,,3,"[1, 6, 11]"
"[0, 7, 11]",3,,
,,4,"[1, 6, 11]"
"[0, 7, 11]",4,,
,,5,"[1, 6, 11]"
"[0, 7, 11]",5,,
